"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"406cab","EXS48JG ","United Kingdom","1654025306","1654025306","30.6963","35.396","8923.02","False","232.92","301.27","3.9","","9288.78","7263","False","0","1"
"406caa","EXS6HW  ","United Kingdom","1654025307","1654025307","27.2873","36.6526","5463.54","False","170.23","109.97","-7.15","","5730.24","5251","False","0","1"
"4073a0","EZY31CQ ","United Kingdom","1654025307","1654025308","26.6715","38.6929","11277.6","False","225.54","129.35","0","","11635.74","3471","False","0","4"
"4ca259","RYR6CT  ","Ireland","1654025307","1654025307","26.3495","44.5914","929.64","False","108.24","232.53","-1.63","","1028.7","4715","False","0","1"
"407267","EXS71YD ","United Kingdom","1654025193","1654025194","28.9625","37.1536","3375.66","False","131.5","138.01","-1.63","","3550.92","4636","False","0","1"
"06a063","QTR76A  ","Qatar","1654025306","1654025307","29.6246","42.3713","10668","False","251.61","122.39","0","","11010.9","4642","False","0","1"
"4d236b","RYR6757 ","Malta","1654025307","1654025308","25.5679","37.2401","11582.4","False","225.15","300.78","0.33","","11955.78","7212","False","0","0"
"46dca2","SEH285  ","Greece","1654025305","1654025305","28.0912","36.4043","","True","0","73.12","","","","","False","0","0"
"407cf7","DHK303  ","United Kingdom","1654025308","1654025308","28.6926","42.8478","10668","False","252.03","124.86","0","","11003.28","2206","False","0","0"
"3c4584","BOX519  ","Germany","1654025308","1654025308","30.4657","42.5747","9753.6","False","244.06","283.66","0","","10081.26","","False","0","1"
"3949f4","AFR556  ","France","1654025307","1654025307","31.1645","35.4683","11887.2","False","255.08","111.29","0","","12321.54","0420","False","0","1"
"485a82","TFL3GY  ","Kingdom of the Netherlands","1654025307","1654025307","27.0144","36.4836","6134.1","False","189.02","277.82","8.78","","6416.04","","False","0","0"
"4d2241","RYR8910 ","Malta","1654025307","1654025307","25.6679","36.7252","10972.8","False","218.32","304.44","0.33","","11330.94","4143","False","0","0"
"4d2210","RYR8696 ","Malta","1654025307","1654025307","25.3312","36.9041","10972.8","False","218.17","304.14","0","","11330.94","4130","False","0","0"
"4d2226","RYR5733 ","Malta","1654025306","1654025306","30.4271","38.6998","11582.4","False","226.69","338.15","0","","11971.02","","False","0","0"
"401179","DHK549  ","United Kingdom","1654025307","1654025307","26.8166","43.7525","10370.82","False","226.69","298.02","0.33","","10675.62","3217","False","0","0"
"406ade","EXS7TR  ","United Kingdom","1654025307","1654025307","26.0908","39.1548","11262.36","False","228.63","140.11","-0.33","","11612.88","2204","False","0","4"
"407c0b","TOM8EG  ","United Kingdom","1654025307","1654025307","27.7818","38.0493","11277.6","False","232.18","113.78","0","","11643.36","5235","False","0","0"
"4bb845","PGT60L  ","Turkey","1654025307","1654025307","29.6264","40.3916","3002.28","False","144.53","274.7","-4.23","","3169.92","","False","0","4"
"4bb850","PGT94M  ","Turkey","1654025307","1654025307","32.4786","40.1167","11582.4","False","217.04","280.38","0","","11948.16","","False","0","4"
"4bb856","PGT79L  ","Turkey","1654025306","1654025307","29.3602","39.4545","10058.4","False","225.59","214.12","0","","10431.78","","False","0","0"
"4bb852","PGT5008 ","Turkey","1654025307","1654025307","28.2426","39.8584","11277.6","False","221.56","150.82","0","","11643.36","7603","False","0","4"
"4bb863","PGT1580 ","Turkey","1654025307","1654025307","25.2431","44.7782","10972.8","False","219.92","317.46","-0.33","","11300.46","1331","False","0","0"
"4bb872","PGT43Q  ","Turkey","1654025307","1654025307","29.0688","40.6068","1630.68","False","124.65","345.91","-4.55","","1744.98","","False","0","0"
"4bb870","PGT5030 ","Turkey","1654025307","1654025307","26.3193","41.9868","11887.2","False","230.73","121.6","-0.65","","12230.1","1442","False","0","0"
"4bb86e","PGT29X  ","Turkey","1654025307","1654025307","32.8309","40.8577","11590.02","False","216.85","251.61","0","","11971.02","","False","0","0"
"46b8a2","AEE909  ","Greece","1654025295","1654025305","27.9753","36.3785","11590.02","False","222.93","293.96","0","","11986.26","7352","False","0","0"
"406a59","EXS97RJ ","United Kingdom","1654025306","1654025307","28.2915","36.4748","899.16","False","107.28","202.26","-1.95","","944.88","6755","False","0","1"
"406a9e","BAW9    ","United Kingdom","1654025302","1654025303","31.7079","42.5171","12496.8","False","256.24","105.49","-0.33","","12847.32","5270","False","0","6"
"407181","EXS9NA  ","United Kingdom","1654025307","1654025307","28.5779","37.7661","11277.6","False","227.06","114.07","0","","11650.98","2240","False","0","4"
"48c221","RYR3EU  ","Poland","1654025306","1654025307","27.256","38.0689","10972.8","False","228.5","321.58","0","","11330.94","7214","False","0","0"
"407d00","WUK5751 ","United Kingdom","1654025307","1654025307","27.5494","36.4156","10668","False","240.63","129.1","0.33","","11049","2706","False","0","0"
"4b906c","PGT1863 ","Turkey","1654024720","1654025305","33.5081","35.153","","True","","112.5","","","","","False","0","4"
"4b9069","PGT3169 ","Turkey","1654025303","1654025303","28.3022","38.3848","5417.82","False","187.73","251.47","-7.48","","5791.2","","False","0","4"
